Dataset name,Cross section [pb],Total events,Time per event [s],Size per event [kB],Generator,Filter efficiency,Filter efficiency error,Match Efficiency,Match Efficiency Error,Notes,Tag,PWG,Campaign,Gridpack location,Gridpack cards URL
GluGluHToWWToLNuQQ_M200_NNPDF31_TuneCP5_PSweights_13TeV_powheg_JHUGen710_pythia8,1,200000,1,1,"PowhegV2+JHUGenV7.1.0",1,0.1,1,0.1,"PS weights: 3 sets of variations for ISR&FSR up/down Reduced sqrt(2)/(1/sqrt(2)), Default 2/0.5 and Conservative 4/0.25 variations","HWW Fall17P1C",HIG,RunIIFall17wmLHEGS,"/cvmfs/cms.cern.ch/phys_generator/gridpacks/2017/13TeV/powheg/V2/gg_H_quark-mass-effects_gghWWlnuqq200/v2/gg_H_quark-mass-effects_slc6_amd64_gcc630_CMSSW_9_3_0_gghWWlnuqq200.tgz","https://github.com/cms-sw/genproductions/blob/master/bin/Powheg/production/2017/13TeV/Higgs/gg_H_WW_quark-mass-effects_NNPDF31_13TeV/gg_H_WW_quark-mass-effects_NNPDF31_13TeV_template.input https://github.com/cms-sw/genproductions/blob/master/bin/JHUGen/cards/decay/WWlnuqq_withtaus.input"
GluGluHToWWToLNuQQ_M250_NNPDF31_TuneCP5_PSweights_13TeV_powheg_JHUGen710_pythia8,1,200000,1,1,"PowhegV2+JHUGenV7.1.0",1,0.1,1,0.1,"PS weights: 3 sets of variations for ISR&FSR up/down Reduced sqrt(2)/(1/sqrt(2)), Default 2/0.5 and Conservative 4/0.25 variations","HWW Fall17P1C",HIG,RunIIFall17wmLHEGS,"/cvmfs/cms.cern.ch/phys_generator/gridpacks/2017/13TeV/powheg/V2/gg_H_quark-mass-effects_gghWWlnuqq250/v2/gg_H_quark-mass-effects_slc6_amd64_gcc630_CMSSW_9_3_0_gghWWlnuqq250.tgz","https://github.com/cms-sw/genproductions/blob/master/bin/Powheg/production/2017/13TeV/Higgs/gg_H_WW_quark-mass-effects_NNPDF31_13TeV/gg_H_WW_quark-mass-effects_NNPDF31_13TeV_template.input https://github.com/cms-sw/genproductions/blob/master/bin/JHUGen/cards/decay/WWlnuqq_withtaus.input"
GluGluHToWWToLNuQQ_M300_NNPDF31_TuneCP5_PSweights_13TeV_powheg_JHUGen710_pythia8,1,200000,1,1,"PowhegV2+JHUGenV7.1.0",1,0.1,1,0.1,"PS weights: 3 sets of variations for ISR&FSR up/down Reduced sqrt(2)/(1/sqrt(2)), Default 2/0.5 and Conservative 4/0.25 variations","HWW Fall17P1C",HIG,RunIIFall17wmLHEGS,"/cvmfs/cms.cern.ch/phys_generator/gridpacks/2017/13TeV/powheg/V2/gg_H_quark-mass-effects_gghWWlnuqq300/v2/gg_H_quark-mass-effects_slc6_amd64_gcc630_CMSSW_9_3_0_gghWWlnuqq300.tgz","https://github.com/cms-sw/genproductions/blob/master/bin/Powheg/production/2017/13TeV/Higgs/gg_H_WW_quark-mass-effects_NNPDF31_13TeV/gg_H_WW_quark-mass-effects_NNPDF31_13TeV_template.input https://github.com/cms-sw/genproductions/blob/master/bin/JHUGen/cards/decay/WWlnuqq_withtaus_reweightdecay_CPS.input"
GluGluHToWWToLNuQQ_M350_NNPDF31_TuneCP5_PSweights_13TeV_powheg_JHUGen710_pythia8,1,200000,1,1,"PowhegV2+JHUGenV7.1.0",1,0.1,1,0.1,"PS weights: 3 sets of variations for ISR&FSR up/down Reduced sqrt(2)/(1/sqrt(2)), Default 2/0.5 and Conservative 4/0.25 variations","HWW Fall17P1C",HIG,RunIIFall17wmLHEGS,"/cvmfs/cms.cern.ch/phys_generator/gridpacks/2017/13TeV/powheg/V2/gg_H_quark-mass-effects_gghWWlnuqq350/v2/gg_H_quark-mass-effects_slc6_amd64_gcc630_CMSSW_9_3_0_gghWWlnuqq350.tgz","https://github.com/cms-sw/genproductions/blob/master/bin/Powheg/production/2017/13TeV/Higgs/gg_H_WW_quark-mass-effects_NNPDF31_13TeV/gg_H_WW_quark-mass-effects_NNPDF31_13TeV_template.input https://github.com/cms-sw/genproductions/blob/master/bin/JHUGen/cards/decay/WWlnuqq_withtaus_reweightdecay_CPS.input"
GluGluHToWWToLNuQQ_M400_NNPDF31_TuneCP5_PSweights_13TeV_powheg_JHUGen710_pythia8,1,200000,1,1,"PowhegV2+JHUGenV7.1.0",1,0.1,1,0.1,"PS weights: 3 sets of variations for ISR&FSR up/down Reduced sqrt(2)/(1/sqrt(2)), Default 2/0.5 and Conservative 4/0.25 variations","HWW Fall17P1C",HIG,RunIIFall17wmLHEGS,"/cvmfs/cms.cern.ch/phys_generator/gridpacks/2017/13TeV/powheg/V2/gg_H_quark-mass-effects_gghWWlnuqq400/v2/gg_H_quark-mass-effects_slc6_amd64_gcc630_CMSSW_9_3_0_gghWWlnuqq400.tgz","https://github.com/cms-sw/genproductions/blob/master/bin/Powheg/production/2017/13TeV/Higgs/gg_H_WW_quark-mass-effects_NNPDF31_13TeV/gg_H_WW_quark-mass-effects_NNPDF31_13TeV_template.input https://github.com/cms-sw/genproductions/blob/master/bin/JHUGen/cards/decay/WWlnuqq_withtaus_reweightdecay_CPS.input"
GluGluHToWWToLNuQQ_M500_NNPDF31_TuneCP5_PSweights_13TeV_powheg_JHUGen710_pythia8,1,200000,1,1,"PowhegV2+JHUGenV7.1.0",1,0.1,1,0.1,"PS weights: 3 sets of variations for ISR&FSR up/down Reduced sqrt(2)/(1/sqrt(2)), Default 2/0.5 and Conservative 4/0.25 variations","HWW Fall17P1C",HIG,RunIIFall17wmLHEGS,"/cvmfs/cms.cern.ch/phys_generator/gridpacks/2017/13TeV/powheg/V2/gg_H_quark-mass-effects_gghWWlnuqq500/v2/gg_H_quark-mass-effects_slc6_amd64_gcc630_CMSSW_9_3_0_gghWWlnuqq500.tgz","https://github.com/cms-sw/genproductions/blob/master/bin/Powheg/production/2017/13TeV/Higgs/gg_H_WW_quark-mass-effects_NNPDF31_13TeV/gg_H_WW_quark-mass-effects_NNPDF31_13TeV_template.input https://github.com/cms-sw/genproductions/blob/master/bin/JHUGen/cards/decay/WWlnuqq_withtaus_reweightdecay_CPS.input"
GluGluHToWWToLNuQQ_M550_NNPDF31_TuneCP5_PSweights_13TeV_powheg_JHUGen710_pythia8,1,200000,1,1,"PowhegV2+JHUGenV7.1.0",1,0.1,1,0.1,"PS weights: 3 sets of variations for ISR&FSR up/down Reduced sqrt(2)/(1/sqrt(2)), Default 2/0.5 and Conservative 4/0.25 variations","HWW Fall17P1C",HIG,RunIIFall17wmLHEGS,"/cvmfs/cms.cern.ch/phys_generator/gridpacks/2017/13TeV/powheg/V2/gg_H_quark-mass-effects_gghWWlnuqq550/v2/gg_H_quark-mass-effects_slc6_amd64_gcc630_CMSSW_9_3_0_gghWWlnuqq550.tgz","https://github.com/cms-sw/genproductions/blob/master/bin/Powheg/production/2017/13TeV/Higgs/gg_H_WW_quark-mass-effects_NNPDF31_13TeV/gg_H_WW_quark-mass-effects_NNPDF31_13TeV_template.input https://github.com/cms-sw/genproductions/blob/master/bin/JHUGen/cards/decay/WWlnuqq_withtaus_reweightdecay_CPS.input"
GluGluHToWWToLNuQQ_M600_NNPDF31_TuneCP5_PSweights_13TeV_powheg_JHUGen710_pythia8,1,200000,1,1,"PowhegV2+JHUGenV7.1.0",1,0.1,1,0.1,"PS weights: 3 sets of variations for ISR&FSR up/down Reduced sqrt(2)/(1/sqrt(2)), Default 2/0.5 and Conservative 4/0.25 variations","HWW Fall17P1C",HIG,RunIIFall17wmLHEGS,"/cvmfs/cms.cern.ch/phys_generator/gridpacks/2017/13TeV/powheg/V2/gg_H_quark-mass-effects_gghWWlnuqq600/v2/gg_H_quark-mass-effects_slc6_amd64_gcc630_CMSSW_9_3_0_gghWWlnuqq600.tgz","https://github.com/cms-sw/genproductions/blob/master/bin/Powheg/production/2017/13TeV/Higgs/gg_H_WW_quark-mass-effects_NNPDF31_13TeV/gg_H_WW_quark-mass-effects_NNPDF31_13TeV_template.input https://github.com/cms-sw/genproductions/blob/master/bin/JHUGen/cards/decay/WWlnuqq_withtaus_reweightdecay_CPS.input"
GluGluHToWWToLNuQQ_M650_NNPDF31_TuneCP5_PSweights_13TeV_powheg_JHUGen710_pythia8,1,200000,1,1,"PowhegV2+JHUGenV7.1.0",1,0.1,1,0.1,"PS weights: 3 sets of variations for ISR&FSR up/down Reduced sqrt(2)/(1/sqrt(2)), Default 2/0.5 and Conservative 4/0.25 variations","HWW Fall17P1C",HIG,RunIIFall17wmLHEGS,"/cvmfs/cms.cern.ch/phys_generator/gridpacks/2017/13TeV/powheg/V2/gg_H_quark-mass-effects_gghWWlnuqq650/v2/gg_H_quark-mass-effects_slc6_amd64_gcc630_CMSSW_9_3_0_gghWWlnuqq650.tgz","https://github.com/cms-sw/genproductions/blob/master/bin/Powheg/production/2017/13TeV/Higgs/gg_H_WW_quark-mass-effects_NNPDF31_13TeV/gg_H_WW_quark-mass-effects_NNPDF31_13TeV_template.input https://github.com/cms-sw/genproductions/blob/master/bin/JHUGen/cards/decay/WWlnuqq_withtaus_reweightdecay_CPS.input"
GluGluHToWWToLNuQQ_M700_NNPDF31_TuneCP5_PSweights_13TeV_powheg_JHUGen710_pythia8,1,200000,1,1,"PowhegV2+JHUGenV7.1.0",1,0.1,1,0.1,"PS weights: 3 sets of variations for ISR&FSR up/down Reduced sqrt(2)/(1/sqrt(2)), Default 2/0.5 and Conservative 4/0.25 variations","HWW Fall17P1C",HIG,RunIIFall17wmLHEGS,"/cvmfs/cms.cern.ch/phys_generator/gridpacks/2017/13TeV/powheg/V2/gg_H_quark-mass-effects_gghWWlnuqq700/v2/gg_H_quark-mass-effects_slc6_amd64_gcc630_CMSSW_9_3_0_gghWWlnuqq700.tgz","https://github.com/cms-sw/genproductions/blob/master/bin/Powheg/production/2017/13TeV/Higgs/gg_H_WW_quark-mass-effects_NNPDF31_13TeV/gg_H_WW_quark-mass-effects_NNPDF31_13TeV_template.input https://github.com/cms-sw/genproductions/blob/master/bin/JHUGen/cards/decay/WWlnuqq_withtaus_reweightdecay_CPS.input"
